"0 = unlimited","0 = unlimited"
"AI Provider","AI Provider"
"AI Provider:","AI Provider:"
"AI Summary","AI Summary"
"AI tokens this month: %1 (unlimited)","AI tokens this month: %1 (unlimited)"
"AI tokens this month: %1 of %2","AI tokens this month: %1 of %2"
"API","API"
"Action","Action"
"Actions","Actions"
"Admin access required","Admin access required"
"All","All"
"All websites (global)","All websites (global)"
"Analyses older than this number of days will be removed","Analyses older than this number of days will be removed"
"Analysis","Analysis"
"Analysis #%1","Analysis #%1"
"Analysis #:","Analysis #:"
"Analysis Scope","Analysis Scope"
"Analysis completed. Refreshing…","Analysis completed. Refreshing…"
"Analysis not found.","Analysis not found."
"Analysis queued. Waiting for processing…","Analysis queued. Waiting for processing…"
"Analysis running…","Analysis running…"
"Analysis scheduled successfully","Analysis scheduled successfully"
"Analysis with ID %1 not found.","Analysis with ID %1 not found."
"Analysis with id %1 not found","Analysis with id %1 not found"
"Analyze Now","Analyze Now"
"Anthropic API Key (Claude)","Anthropic API Key (Claude)"
"At least two completed analyses are required to compare.","At least two completed analyses are required to compare."
"Automatic Analysis","Automatic Analysis"
"Automatically removes old analyses via cron","Automatically removes old analyses via cron"
"Back to History","Back to History"
"Back to Recommendations","Back to Recommendations"
"Category","Category"
"Category:","Category:"
"Claude Model","Claude Model"
"Clear filters","Clear filters"
"Collector","Collector"
"Collector Data","Collector Data"
"Collector Results","Collector Results"
"Collector:","Collector:"
"Comparing #%1 with #%2","Comparing #%1 with #%2"
"Completed","Completed"
"Critical","Critical"
"Cron","Cron"
"Current Score","Current Score"
"Dashboard","Dashboard"
"Data Cleanup","Data Cleanup"
"Data retention (days)","Data retention (days)"
"Date","Date"
"Days without sale (alert)","Days without sale (alert)"
"Dismiss","Dismiss"
"Dismiss Recommendation","Dismiss Recommendation"
"Dismissed","Dismissed"
"E.g.: claude-sonnet-4-6","E.g.: claude-sonnet-4-6"
"E.g.: gemini-2.5-flash (free)","E.g.: gemini-2.5-flash (free)"
"E.g.: gpt-4o","E.g.: gpt-4o"
"Egsn","Egsn"
"Email Notifications","Email Notifications"
"End:","End:"
"Errors","Errors"
"Errors collectors timeout (seconds)","Errors collectors timeout (seconds)"
"Estimated Impact:","Estimated Impact:"
"Export CSV","Export CSV"
"Failed","Failed"
"Failure reason:","Failure reason:"
"Fair","Fair"
"Filter","Filter"
"Free key at aistudio.google.com","Free key at aistudio.google.com"
"Garbage Collection","Garbage Collection"
"Gemini Model","Gemini Model"
"Global","Global"
"Global analysis timeout (minutes)","Global analysis timeout (minutes)"
"Good","Good"
"Google AI Studio API Key (Gemini)","Google AI Studio API Key (Gemini)"
"History","History"
"Hours until cart is abandoned","Hours until cart is abandoned"
"ID","ID"
"Images above this size are flagged as unoptimized","Images above this size are flagged as unoptimized"
"Impact","Impact"
"Improvement","Improvement"
"Last analysis:","Last analysis:"
"Manual","Manual"
"Maximum image size (KB)","Maximum image size (KB)"
"Maximum total time for a complete analysis","Maximum total time for a complete analysis"
"Monthly AI Token Budget","Monthly AI Token Budget"
"Months until customer is inactive","Months until customer is inactive"
"N/A","N/A"
"New issues","New issues"
"Next","Next"
"No analyses found. Run an analysis from the Dashboard.","No analyses found. Run an analysis from the Dashboard."
"No analysis performed yet.","No analysis performed yet."
"No completed analysis found","No completed analysis found"
"No data.","No data."
"No recommendations available.","No recommendations available."
"No recommendations found for the selected filters.","No recommendations found for the selected filters."
"No recommendations found.","No recommendations found."
"No results recorded.","No results recorded."
"No score history yet.","No score history yet."
"No summary available.","No summary available."
"Note","Note"
"Number of products analyzed per catalog collector","Number of products analyzed per catalog collector"
"OpenAI API Key","OpenAI API Key"
"OpenAI Model","OpenAI Model"
"Pending","Pending"
"Performance","Performance"
"Performance collectors timeout (seconds)","Performance collectors timeout (seconds)"
"Persistent","Persistent"
"Please wait…","Please wait…"
"Previous","Previous"
"Priority","Priority"
"Problem Description","Problem Description"
"Queries exceeding this time are reported","Queries exceeding this time are reported"
"Recipients (one per line)","Recipients (one per line)"
"Recommendation #%1","Recommendation #%1"
"Recommendation not found.","Recommendation not found."
"Recommendation with ID %1 not found.","Recommendation with ID %1 not found."
"Recommendations","Recommendations"
"Recommended Action","Recommended Action"
"Request error:","Request error:"
"Resolved","Resolved"
"Restricts sales/order collectors to the selected website. Infrastructure collectors (opcache, logs, cache) are always global.","Restricts sales/order collectors to the selected website. Infrastructure collectors (opcache, logs, cache) are always global."
"Running","Running"
"Sales","Sales"
"Sales collectors timeout (seconds)","Sales collectors timeout (seconds)"
"Sample size (products)","Sample size (products)"
"Schedule","Schedule"
"Scope","Scope"
"Scope:","Scope:"
"Score","Score"
"Score History","Score History"
"Score:","Score:"
"Select the AI provider for diagnostics","Select the AI provider for diagnostics"
"Send Email","Send Email"
"Send Webhook","Send Webhook"
"Sends a JSON POST {""text"": ""...""} when each analysis completes. Compatible with Slack and Microsoft Teams incoming webhooks.","Sends a JSON POST {""text"": ""...""} when each analysis completes. Compatible with Slack and Microsoft Teams incoming webhooks."
"Session expired. Reloading…","Session expired. Reloading…"
"Showing %1–%2 of %3 analysis(es).","Showing %1–%2 of %3 analysis(es)."
"Showing %1–%2 of %3 recommendation(s).","Showing %1–%2 of %3 recommendation(s)."
"Slow query threshold (seconds)","Slow query threshold (seconds)"
"Start:","Start:"
"Status","Status"
"Status:","Status:"
"Store Intelligence","Store Intelligence"
"Store Intelligence — Analysis #%1","Store Intelligence — Analysis #%1"
"Store Intelligence — Analysis History","Store Intelligence — Analysis History"
"Store Intelligence — Dashboard","Store Intelligence — Dashboard"
"Store Intelligence — History","Store Intelligence — History"
"Store Intelligence — Recommendations","Store Intelligence — Recommendations"
"Success!","Success!"
"Thresholds","Thresholds"
"Title","Title"
"Top Recommendations","Top Recommendations"
"Tracking timed out. Reload the page to see the result.","Tracking timed out. Reload the page to see the result."
"Trigger","Trigger"
"Unknown error.","Unknown error."
"Warning","Warning"
"Webhook Notifications","Webhook Notifications"
"Webhook URL","Webhook URL"
"Website #%1","Website #%1"
"What changed since the last analysis","What changed since the last analysis"
"When the limit is reached, analyses continue (deterministic score) but without AI summary/recommendations until next month. 0 = unlimited.","When the limit is reached, analyses continue (deterministic score) but without AI summary/recommendations until next month. 0 = unlimited."
"Window End (HH:MM)","Window End (HH:MM)"
"Window Start (HH:MM)","Window Start (HH:MM)"
"none","none"
"Frequency","Frequency"
"The analysis cron runs at the Start Time: daily, every Monday, or on the 1st of each month (store timezone).","The analysis cron runs at the Start Time: daily, every Monday, or on the 1st of each month (store timezone)."
"Start Time","Start Time"
"Custom Cron Expression","Custom Cron Expression"
"Optional: overrides Frequency and Start Time. Full crontab syntax: * (any), , (list), - (range), / (step) and @hourly, @daily, @weekly, @monthly, @yearly. Example: */5 * * * * runs every 5 minutes. @reboot is not supported.","Optional: overrides Frequency and Start Time. Full crontab syntax: * (any), , (list), - (range), / (step) and @hourly, @daily, @weekly, @monthly, @yearly. Example: */5 * * * * runs every 5 minutes. @reboot is not supported."
"@reboot is not supported: Magento cron has no boot event. Use a periodic expression.","@reboot is not supported: Magento cron has no boot event. Use a periodic expression."
"Unknown cron shortcut ""%1"".","Unknown cron shortcut ""%1""."
"Invalid cron expression ""%1"": expected 5 or 6 space-separated fields.","Invalid cron expression ""%1"": expected 5 or 6 space-separated fields."
"Invalid cron expression field ""%1"".","Invalid cron expression field ""%1""."
"Each website separately","Each website separately"
